symptom_id,symptom_name,dialect,query_text,urgency_score
1,chest_pain,standard,I am experiencing a sharp pain in my chest with pressure spreading to my left arm.,8
2,stroke_symptoms,standard,"My face feels numb, my speech is slurred, and I cannot move my right arm properly.",8
3,asthma_attack,standard,I am having difficulty breathing and my chest feels tight with continuous wheezing.,8
4,high_fever,standard,I have had a very high fever since last night along with chills and body aches.,8
5,severe_headache,standard,I am experiencing a sudden severe headache with sensitivity to light and nausea.,8
6,allergic_reaction,standard,"My throat feels swollen, I have developed a rash, and I am struggling to breathe.",9
7,diabetic_emergency,standard,"I feel extremely dizzy, weak, and confused, and my blood sugar level is very low.",9
8,appendicitis,standard,I have a sharp pain in the lower right side of my abdomen that is getting worse.,7
9,dehydration,standard,"I feel extremely weak and dizzy, and I have not been able to keep fluids down.",8
10,kidney_infection,standard,I have pain in my lower back with fever and a burning sensation while urinating.,8
11,food_poisoning,standard,I have been vomiting repeatedly and have severe stomach cramps and diarrhea.,9
12,panic_attack,standard,"My heart is racing, I feel short of breath, and I suddenly feel intense fear.",9
13,concussion,standard,"I hit my head earlier and now I feel dizzy, confused, and nauseous.",9
14,sepsis,standard,"I have a high fever, rapid heartbeat, confusion, and difficulty staying awake.",8
15,pregnancy_emergency,standard,I am pregnant and experiencing severe abdominal pain with heavy bleeding.,9
1,chest_pain,aave,My chest been hurting real bad and the pain keep shooting down my left arm.,9
2,stroke_symptoms,aave,"Half my face done gone numb, my words coming out all wrong, and I can't move my right arm at all.",9
3,asthma_attack,aave,"I can't hardly breathe, my chest stay tight, and I keep wheezing real bad.",8
4,high_fever,aave,I been running a real high fever since last night and my whole body be aching.,8
5,severe_headache,aave,"My head been hurting real bad out of nowhere, lights bothering me, and I feel like throwing up.",9
6,allergic_reaction,aave,"My throat done started swelling up, I got this rash all over, and I can't hardly breathe.",9
7,diabetic_emergency,aave,I been feeling real dizzy and confused and my sugar done dropped too low.,8
8,appendicitis,aave,"I got this sharp pain on the right side of my stomach and it ain't stopping, it keep getting worse.",8
9,dehydration,aave,"I'm weak and dizzy and I can't keep nothing down, not even water.",8
10,kidney_infection,aave,"My lower back been hurting bad, I got a fever, and it burn every time I pee.",8
11,food_poisoning,aave,I keep throwing up and my stomach been cramping real bad with nonstop diarrhea.,8
12,panic_attack,aave,"My heart been beating fast, I can't catch my breath, and I'm feeling scared for no reason.",9
13,concussion,aave,"I done hit my head and now I'm dizzy, confused, and feeling sick to my stomach.",9
14,sepsis,aave,"I got a high fever, my heart been racing, I'm confused, and I can't hardly stay awake.",8
15,pregnancy_emergency,aave,I'm pregnant and my stomach been hurting real bad with heavy bleeding and it ain't stopping.,9
1,chest_pain,nonnative,I have strong pain in chest and pressure going to my left arm.,9
2,stroke_symptoms,nonnative,"My face feeling numb, my speaking not clear, and I cannot move my right arm good.",8
3,asthma_attack,nonnative,I have problem breathing and chest feeling very tight with wheezing.,8
4,high_fever,nonnative,I have very high fever from last night with chills and body pain.,8
5,severe_headache,nonnative,I get very bad headache suddenly and light hurting my eyes with nausea.,8
6,allergic_reaction,nonnative,"My throat becoming swollen, I have rash, and breathing becoming difficult.",9
7,diabetic_emergency,nonnative,"I feeling very dizzy, weak, and confused, and my sugar level become too low.",8
8,appendicitis,nonnative,I have sharp pain on lower right side of stomach and pain becoming worse.,8
9,dehydration,nonnative,I feeling very weak and dizzy and cannot keep water or food inside.,8
10,kidney_infection,nonnative,I have pain in lower back with fever and burning feeling when urinating.,8
11,food_poisoning,nonnative,I am vomiting many times and have very bad stomach pain and diarrhea.,8
12,panic_attack,nonnative,"My heart beating very fast, I cannot breathe properly, and suddenly I feel strong fear.",9
13,concussion,nonnative,"I hit my head before and now I feeling dizzy, confused, and nauseous.",8
14,sepsis,nonnative,"I have high fever, fast heartbeat, confusion, and problem staying awake.",8
15,pregnancy_emergency,nonnative,I am pregnant and having very bad stomach pain with heavy bleeding.,9
1,chest_pain,informal,My chest hurts real bad and it’s like pressure going down my left arm.,9
2,stroke_symptoms,informal,"My face feels numb, I’m slurring my words, and I can’t really move my right arm.",9
3,asthma_attack,informal,"I seriously can't breathe, my chest is super tight, and I won't stop wheezing.",9
4,high_fever,informal,I've had this crazy high fever since last night and I'm getting chills and my whole body aches.,8
5,severe_headache,informal,"My head started pounding out of nowhere, light is really bothering me, and I feel like I'm gonna throw up.",9
6,allergic_reaction,informal,"My throat is seriously swelling up, I've got a rash everywhere, and I'm having trouble breathing.",8
7,diabetic_emergency,informal,"I'm really dizzy, super weak, and out of it, and I think my blood sugar crashed.",9
8,appendicitis,informal,I've got this really sharp pain on the lower right side of my stomach and it keeps getting worse.,8
9,dehydration,informal,"I feel super weak and dizzy and I literally can't keep anything down, not even water.",8
10,kidney_infection,informal,"My lower back is killing me, I've got a fever, and it really burns when I pee.",8
11,food_poisoning,informal,"I've been throwing up nonstop, my stomach is cramping really bad, and I have diarrhea.",9
12,panic_attack,informal,"My heart is going crazy fast, I can't breathe right, and I'm suddenly really scared.",9
13,concussion,informal,"I hit my head a little while ago and now I feel dizzy, confused, and kind of nauseous.",8
14,sepsis,informal,"I've got a high fever, my heart is racing, I can't think straight, and I can barely keep my eyes open.",9
15,pregnancy_emergency,informal,I'm pregnant and I'm having really bad stomach pain with a lot of heavy bleeding.,9
